OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
111,201009221431.000000000000000,Obliquaria reflexa,,No,No,Live,,,6,46,,,,No,,4743812.978199999779463,655363.017199999652803,Quantitative,1,0,0,0,0,1,1,0,0,Lampsilini
112,201009221431.000000000000000,Quadrula pustulosa pustulosa,,No,No,Weathered Dead,,,,,,,,,,4743812.978199999779463,655363.017199999652803,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
113,201009221431.000000000000000,Lasmigona complanata complanata,,No,No,Sub-Fossil,,,,,,,,,,4743812.978199999779463,655363.017199999652803,Quantitative,0,0,,,0,0,0,0,0,Anodontini
114,201009221433.000000000000000,Lampsilis cardium,,No,No,Live,Male,,12,110,,,,No,,4743834.010800000280142,655375.990299999713898,Quantitative,1,0,0,0,0,0,1,0,0,Lampsilini
115,201009221443.000000000000000,Amblema plicata,,No,No,Live,,,8,65,,,,No,,4743864.981100000441074,655378.017300000414252,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
116,201009221443.000000000000000,Amblema plicata,,No,No,Live,,,12,82,,,,No,,4743864.981100000441074,655378.017300000414252,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
117,201009221443.000000000000000,Quadrula pustulosa pustulosa,,No,No,Live,,,10,56,,,,No,,4743864.981100000441074,655378.017300000414252,Quantitative,1,0,0,0,0,0,0,0,0,Quadrulini
118,201009221444.000000000000000,Amblema plicata,,No,No,Live,,,12,78,,,,No,,4743871.026799999177456,655355.983099999837577,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
119,201009221444.000000000000000,Fusconaia flava,,No,No,Live,,,9,50,,,,No,,4743871.026799999177456,655355.983099999837577,Quantitative,1,0,0,0,0,0,0,0,0,Pleurobemini
120,201009221445.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743747.026799999177456,655317.983199999667704,Quantitative,0,0,,,0,1,0,0,0,Amblemini
121,201009221445.000000000000000,Lampsilis siliquoidea,,No,No,Weathered Dead,,,,,,,,,,4743747.026799999177456,655317.983199999667704,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
122,201009221446.000000000000000,Quadrula pustulosa pustulosa,,No,No,Live,,,14,63,,,,No,,4743762.005300000309944,655328.003700000233948,Quantitative,1,0,0,0,0,0,0,0,0,Quadrulini
123,201009221446.000000000000000,Ligumia recta,,No,No,Live,,,8,110,,,,No,,4743762.005300000309944,655328.003700000233948,Quantitative,1,0,0,0,1,0,1,0,0,Lampsilini
124,201009221446.000000000000000,Quadrula quadrula,,No,No,Weathered Dead,,,,,,,,,,4743762.005300000309944,655328.003700000233948,Quantitative,0,0,,,0,1,0,0,0,Quadrulini
